sample_id,has_instruction,ade_instruction_m,fde_instruction_m,ade_baseline_m,fde_baseline_m,delta_ade_m,delta_fde_m,ade_instruction_norm,fde_instruction_norm,ade_baseline_norm,fde_baseline_norm,delta_ade_norm,delta_fde_norm
scene-0042_0_2b61885d,1,8.346976637840271,16.691519021987915,8.717710375785828,18.471179008483887,0.37073373794555664,1.7796599864959717,0.8346976637840271,1.6691519021987915,0.8717710375785828,1.8471179008483887,0.037073373794555664,0.17796599864959717
scene-0042_2_2b61885d,1,1.8156737089157104,5.440993905067444,2.7154460549354553,7.204305529594421,0.8997723460197449,1.7633116245269775,0.18156737089157104,0.5440993905067444,0.27154460549354553,0.7204305529594421,0.08997723460197449,0.17633116245269775
scene-0042_4_2b61885d,1,4.275692701339722,11.021517515182495,5.428538918495178,14.171169996261597,1.1528462171554565,3.1496524810791016,0.42756927013397217,1.1021517515182495,0.5428538918495178,1.4171169996261597,0.11528462171554565,0.31496524810791016
scene-0042_6_2b61885d,1,4.324393272399902,10.241641998291016,5.061607360839844,12.8256356716156,0.7372140884399414,2.583993673324585,0.43243932723999023,1.0241641998291016,0.5061607360839844,1.28256356716156,0.07372140884399414,0.2583993673324585
scene-0042_8_2b61885d,1,3.150351047515869,6.137911081314087,3.7320607900619507,8.178643584251404,0.5817097425460815,2.040732502937317,0.3150351047515869,0.6137911081314087,0.37320607900619507,0.8178643584251404,0.058170974254608154,0.2040732502937317
scene-0042_10_2b61885d,1,2.1114954352378845,4.000736474990845,2.8545141220092773,5.989485383033752,0.7430186867713928,1.9887489080429077,0.21114954352378845,0.4000736474990845,0.28545141220092773,0.5989485383033752,0.07430186867713928,0.19887489080429077
scene-0042_12_2b61885d,1,1.7184194922447205,2.9142743349075317,2.5375258922576904,5.292593240737915,0.81910640001297,2.3783189058303833,0.17184194922447205,0.2914274334907532,0.25375258922576904,0.5292593240737915,0.081910640001297,0.23783189058303833
scene-0042_14_2b61885d,1,0.7805240899324417,1.614621877670288,0.9697310626506805,0.48985209316015244,0.18920697271823883,-1.1247697845101357,0.07805240899324417,0.1614621877670288,0.09697310626506805,0.048985209316015244,0.018920697271823883,-0.11247697845101357
scene-0042_16_2b61885d,1,2.1570241451263428,3.7733113765716553,2.1335312724113464,1.4304129779338837,-0.023492872714996338,-2.3428983986377716,0.21570241451263428,0.3773311376571655,0.21335312724113464,0.14304129779338837,-0.002349287271499634,-0.23428983986377716
scene-0042_18_2b61885d,1,2.8122732043266296,3.4530365467071533,2.6619061827659607,0.7442568987607956,-0.15036702156066895,-2.7087796479463577,0.28122732043266296,0.34530365467071533,0.26619061827659607,0.07442568987607956,-0.015036702156066895,-0.2708779647946358
scene-0042_20_2b61885d,1,0.7263490557670593,1.4755290746688843,1.9708095490932465,4.3000528216362,1.2444604933261871,2.8245237469673157,0.07263490557670593,0.14755290746688843,0.19708095490932465,0.43000528216362,0.12444604933261871,0.28245237469673157
scene-0042_22_2b61885d,1,0.8112776279449463,1.772276759147644,1.3984143733978271,1.804284006357193,0.5871367454528809,0.03200724720954895,0.08112776279449463,0.1772276759147644,0.13984143733978271,0.1804284006357193,0.058713674545288086,0.003200724720954895
scene-0042_24_2b61885d,1,2.082887142896652,5.785634517669678,3.6526882648468018,9.217151403427124,1.5698011219501495,3.4315168857574463,0.20828871428966522,0.5785634517669678,0.3652688264846802,0.9217151403427124,0.15698011219501495,0.34315168857574463
scene-0042_0_3f35bd9b,1,8.864508867263794,20.475196838378906,8.717710375785828,18.471179008483887,-0.1467984914779663,-2.0040178298950195,0.8864508867263794,2.0475196838378906,0.8717710375785828,1.8471179008483887,-0.01467984914779663,-0.20040178298950195
scene-0042_2_3f35bd9b,1,2.555522918701172,8.47362995147705,2.7154460549354553,7.204305529594421,0.15992313623428345,-1.2693244218826294,0.2555522918701172,0.8473629951477051,0.27154460549354553,0.7204305529594421,0.015992313623428345,-0.12693244218826294
scene-0042_4_3f35bd9b,1,5.986870527267456,17.143664360046387,5.428538918495178,14.171169996261597,-0.5583316087722778,-2.97249436378479,0.5986870527267456,1.7143664360046387,0.5428538918495178,1.4171169996261597,-0.05583316087722778,-0.297249436378479
scene-0042_6_3f35bd9b,1,5.814688205718994,15.845985412597656,5.061607360839844,12.8256356716156,-0.7530808448791504,-3.0203497409820557,0.5814688205718994,1.5845985412597656,0.5061607360839844,1.28256356716156,-0.07530808448791504,-0.30203497409820557
scene-0042_8_3f35bd9b,1,4.341034889221191,10.888198614120483,3.7320607900619507,8.178643584251404,-0.6089740991592407,-2.7095550298690796,0.43410348892211914,1.0888198614120483,0.37320607900619507,0.8178643584251404,-0.06089740991592407,-0.27095550298690796
scene-0042_10_3f35bd9b,1,3.4779512882232666,8.887332081794739,2.8545141220092773,5.989485383033752,-0.6234371662139893,-2.8978466987609863,0.34779512882232666,0.8887332081794739,0.28545141220092773,0.5989485383033752,-0.062343716621398926,-0.28978466987609863
scene-0042_12_3f35bd9b,1,3.2771816849708557,8.517400026321411,2.5375258922576904,5.292593240737915,-0.7396557927131653,-3.224806785583496,0.32771816849708557,0.8517400026321411,0.25375258922576904,0.5292593240737915,-0.07396557927131653,-0.3224806785583496
scene-0042_14_3f35bd9b,1,1.1100279539823532,3.249187171459198,0.9697310626506805,0.48985209316015244,-0.14029689133167267,-2.7593350782990456,0.11100279539823532,0.3249187171459198,0.09697310626506805,0.048985209316015244,-0.014029689133167267,-0.27593350782990456
scene-0042_16_3f35bd9b,1,1.01804718375206,1.7541544139385223,2.1335312724113464,1.4304129779338837,1.1154840886592865,-0.32374143600463867,0.101804718375206,0.17541544139385223,0.21335312724113464,0.14304129779338837,0.11154840886592865,-0.03237414360046387
scene-0042_18_3f35bd9b,1,1.9018708169460297,3.017129600048065,2.6619061827659607,0.7442568987607956,0.760035365819931,-2.2728727012872696,0.19018708169460297,0.3017129600048065,0.26619061827659607,0.07442568987607956,0.0760035365819931,-0.22728727012872696
scene-0042_20_3f35bd9b,1,2.357654869556427,7.327169179916382,1.9708095490932465,4.3000528216362,-0.38684532046318054,-3.027116358280182,0.2357654869556427,0.7327169179916382,0.19708095490932465,0.43000528216362,-0.038684532046318054,-0.3027116358280182
scene-0042_22_3f35bd9b,1,1.0973039269447327,3.537445366382599,1.3984143733978271,1.804284006357193,0.3011104464530945,-1.7331613600254059,0.10973039269447327,0.3537445366382599,0.13984143733978271,0.1804284006357193,0.030111044645309448,-0.1733161360025406
scene-0042_24_3f35bd9b,1,4.10443514585495,11.653780937194824,3.6526882648468018,9.217151403427124,-0.4517468810081482,-2.4366295337677,0.410443514585495,1.1653780937194824,0.3652688264846802,0.9217151403427124,-0.04517468810081482,-0.24366295337677002
scene-0042_0_6683fe5c,1,7.546083331108093,15.901625156402588,8.717710375785828,18.471179008483887,1.1716270446777344,2.569553852081299,0.7546083331108093,1.5901625156402588,0.8717710375785828,1.8471179008483887,0.11716270446777344,0.2569553852081299
scene-0042_2_6683fe5c,1,1.4289933443069458,4.738492369651794,2.7154460549354553,7.204305529594421,1.2864527106285095,2.465813159942627,0.14289933443069458,0.47384923696517944,0.27154460549354553,0.7204305529594421,0.12864527106285095,0.2465813159942627
