sample_id,has_instruction,ade_instruction_m,fde_instruction_m,ade_baseline_m,fde_baseline_m,delta_ade_m,delta_fde_m,ade_instruction_norm,fde_instruction_norm,ade_baseline_norm,fde_baseline_norm,delta_ade_norm,delta_fde_norm
scene-0042_0_2b61885d,1,11.148555278778076,25.53039312362671,11.303577423095703,25.940637588500977,0.15502214431762695,0.4102444648742676,1.1148555278778076,2.553039312362671,1.1303577423095703,2.5940637588500977,0.015502214431762695,0.04102444648742676
scene-0042_1_2b61885d,1,5.546926259994507,13.695905208587646,5.652518272399902,13.661922216415405,0.10559201240539551,-0.03398299217224121,0.5546926259994507,1.3695905208587646,0.5652518272399902,1.3661922216415405,0.01055920124053955,-0.003398299217224121
scene-0042_2_2b61885d,1,3.634297251701355,9.986120462417603,3.7324219942092896,9.809778332710266,0.09812474250793457,-0.17634212970733643,0.3634297251701355,0.9986120462417603,0.37324219942092896,0.9809778332710266,0.009812474250793457,-0.017634212970733643
scene-0042_3_2b61885d,1,3.4051579236984253,9.798035621643066,3.52247416973114,9.651099443435669,0.11731624603271484,-0.14693617820739746,0.34051579236984253,0.9798035621643066,0.352247416973114,0.9651099443435669,0.011731624603271484,-0.014693617820739746
scene-0042_4_2b61885d,1,6.206745505332947,15.80257773399353,6.339048743247986,15.934480428695679,0.13230323791503906,0.13190269470214844,0.6206745505332947,1.580257773399353,0.6339048743247986,1.5934480428695679,0.013230323791503906,0.013190269470214844
scene-0042_5_2b61885d,1,6.4184558391571045,16.0872745513916,6.527993083000183,16.134727001190186,0.10953724384307861,0.047452449798583984,0.6418455839157104,1.6087274551391602,0.6527993083000183,1.6134727001190186,0.010953724384307861,0.0047452449798583984
scene-0042_6_2b61885d,1,6.3765329122543335,15.413295030593872,6.4601874351501465,15.383777618408203,0.08365452289581299,-0.029517412185668945,0.6376532912254333,1.5413295030593872,0.6460187435150146,1.5383777618408203,0.008365452289581299,-0.0029517412185668945
scene-0042_7_2b61885d,1,5.838431715965271,12.807955741882324,5.897684097290039,12.669258117675781,0.059252381324768066,-0.13869762420654297,0.5838431715965271,1.2807955741882324,0.5897684097290039,1.2669258117675781,0.005925238132476807,-0.013869762420654297
scene-0042_8_2b61885d,1,5.417227149009705,11.67012333869934,5.447167158126831,11.462185382843018,0.029940009117126465,-0.20793795585632324,0.5417227149009705,1.167012333869934,0.5447167158126831,1.1462185382843018,0.0029940009117126465,-0.020793795585632324
scene-0042_9_2b61885d,1,4.2372927069664,9.091762900352478,4.253273606300354,8.796539306640625,0.015980899333953857,-0.295223593711853,0.42372927069664,0.9091762900352478,0.4253273606300354,0.8796539306640625,0.0015980899333953857,-0.029522359371185303
scene-0042_10_2b61885d,1,4.329909980297089,9.178694486618042,4.351974129676819,9.010794758796692,0.022064149379730225,-0.1678997278213501,0.43299099802970886,0.9178694486618042,0.4351974129676819,0.9010794758796692,0.0022064149379730225,-0.01678997278213501
scene-0042_11_2b61885d,1,4.1400909423828125,8.552099466323853,4.1757988929748535,8.46536636352539,0.035707950592041016,-0.08673310279846191,0.41400909423828125,0.8552099466323853,0.41757988929748535,0.8465366363525391,0.0035707950592041016,-0.008673310279846191
scene-0042_12_2b61885d,1,4.094493389129639,8.270687460899353,4.112067222595215,8.183072209358215,0.017573833465576172,-0.0876152515411377,0.40944933891296387,0.8270687460899353,0.4112067222595215,0.8183072209358215,0.0017573833465576172,-0.00876152515411377
scene-0042_13_2b61885d,1,3.319593667984009,6.172970533370972,3.3164680004119873,5.969200134277344,-0.0031256675720214844,-0.20377039909362793,0.3319593667984009,0.6172970533370972,0.33164680004119873,0.5969200134277344,-0.00031256675720214844,-0.020377039909362793
scene-0042_14_2b61885d,1,2.279164493083954,4.309462606906891,2.2745203971862793,4.0726035833358765,-0.0046440958976745605,-0.2368590235710144,0.22791644930839539,0.4309462606906891,0.22745203971862793,0.40726035833358765,-0.00046440958976745605,-0.02368590235710144
scene-0042_15_2b61885d,1,1.4747074246406555,3.1956660747528076,1.4990830421447754,3.0607083439826965,0.024375617504119873,-0.13495773077011108,0.14747074246406555,0.31956660747528076,0.14990830421447754,0.30607083439826965,0.0024375617504119873,-0.013495773077011108
scene-0042_16_2b61885d,1,0.8140038698911667,2.2951440513134003,0.8669708669185638,2.1790702641010284,0.052966997027397156,-0.11607378721237183,0.08140038698911667,0.22951440513134003,0.08669708669185638,0.21790702641010284,0.005296699702739716,-0.011607378721237183
scene-0042_17_2b61885d,1,2.072041928768158,2.2872228920459747,2.328287959098816,2.69393652677536,0.25624603033065796,0.4067136347293854,0.2072041928768158,0.22872228920459747,0.2328287959098816,0.269393652677536,0.025624603033065796,0.04067136347293854
scene-0042_18_2b61885d,1,1.3311579823493958,1.7980904877185822,1.5732942521572113,1.9974477589130402,0.24213626980781555,0.199357271194458,0.13311579823493958,0.17980904877185822,0.15732942521572113,0.19974477589130402,0.024213626980781555,0.0199357271194458
scene-0042_19_2b61885d,1,8.516783714294434,18.41402530670166,8.761274218559265,19.174611568450928,0.24449050426483154,0.7605862617492676,0.8516783714294434,1.841402530670166,0.8761274218559265,1.9174611568450928,0.024449050426483154,0.07605862617492676
scene-0042_20_2b61885d,1,4.633459448814392,10.531408786773682,4.763305187225342,10.623078346252441,0.1298457384109497,0.09166955947875977,0.4633459448814392,1.0531408786773682,0.4763305187225342,1.0623078346252441,0.01298457384109497,0.009166955947875977
scene-0042_21_2b61885d,1,1.3381397724151611,3.2288089394569397,1.4704957604408264,2.94781357049942,0.13235598802566528,-0.28099536895751953,0.1338139772415161,0.32288089394569397,0.14704957604408264,0.294781357049942,0.013235598802566528,-0.028099536895751953
scene-0042_22_2b61885d,1,1.3049030303955078,3.823404312133789,1.2797267735004425,3.450748026371002,-0.025176256895065308,-0.37265628576278687,0.13049030303955078,0.3823404312133789,0.12797267735004425,0.3450748026371002,-0.0025176256895065308,-0.037265628576278687
scene-0042_23_2b61885d,1,3.145381808280945,8.188941478729248,3.2252144813537598,8.05360496044159,0.07983267307281494,-0.1353365182876587,0.3145381808280945,0.8188941478729248,0.322521448135376,0.8053604960441589,0.007983267307281494,-0.01353365182876587
scene-0042_24_2b61885d,1,3.6756539344787598,9.49813961982727,3.7170669436454773,9.364756345748901,0.04141300916671753,-0.13338327407836914,0.367565393447876,0.949813961982727,0.37170669436454773,0.9364756345748901,0.004141300916671753,-0.013338327407836914
scene-0042_0_3f35bd9b,1,11.148555278778076,25.53039312362671,11.303577423095703,25.940637588500977,0.15502214431762695,0.4102444648742676,1.1148555278778076,2.553039312362671,1.1303577423095703,2.5940637588500977,0.015502214431762695,0.04102444648742676
scene-0042_1_3f35bd9b,1,5.546926259994507,13.695905208587646,5.652518272399902,13.661922216415405,0.10559201240539551,-0.03398299217224121,0.5546926259994507,1.3695905208587646,0.5652518272399902,1.3661922216415405,0.01055920124053955,-0.003398299217224121
scene-0042_2_3f35bd9b,1,3.634297251701355,9.986120462417603,3.7324219942092896,9.809778332710266,0.09812474250793457,-0.17634212970733643,0.3634297251701355,0.9986120462417603,0.37324219942092896,0.9809778332710266,0.009812474250793457,-0.017634212970733643
scene-0042_3_3f35bd9b,1,3.4051579236984253,9.798035621643066,3.52247416973114,9.651099443435669,0.11731624603271484,-0.14693617820739746,0.34051579236984253,0.9798035621643066,0.352247416973114,0.9651099443435669,0.011731624603271484,-0.014693617820739746
scene-0042_4_3f35bd9b,1,6.206745505332947,15.80257773399353,6.339048743247986,15.934480428695679,0.13230323791503906,0.13190269470214844,0.6206745505332947,1.580257773399353,0.6339048743247986,1.5934480428695679,0.013230323791503906,0.013190269470214844
scene-0042_5_3f35bd9b,1,6.4184558391571045,16.0872745513916,6.527993083000183,16.134727001190186,0.10953724384307861,0.047452449798583984,0.6418455839157104,1.6087274551391602,0.6527993083000183,1.6134727001190186,0.010953724384307861,0.0047452449798583984
scene-0042_6_3f35bd9b,1,6.3765329122543335,15.413295030593872,6.4601874351501465,15.383777618408203,0.08365452289581299,-0.029517412185668945,0.6376532912254333,1.5413295030593872,0.6460187435150146,1.5383777618408203,0.008365452289581299,-0.0029517412185668945
scene-0042_7_3f35bd9b,1,5.838431715965271,12.807955741882324,5.897684097290039,12.669258117675781,0.059252381324768066,-0.13869762420654297,0.5838431715965271,1.2807955741882324,0.5897684097290039,1.2669258117675781,0.005925238132476807,-0.013869762420654297
scene-0042_8_3f35bd9b,1,5.417227149009705,11.67012333869934,5.447167158126831,11.462185382843018,0.029940009117126465,-0.20793795585632324,0.5417227149009705,1.167012333869934,0.5447167158126831,1.1462185382843018,0.0029940009117126465,-0.020793795585632324
scene-0042_9_3f35bd9b,1,4.2372927069664,9.091762900352478,4.253273606300354,8.796539306640625,0.015980899333953857,-0.295223593711853,0.42372927069664,0.9091762900352478,0.4253273606300354,0.8796539306640625,0.0015980899333953857,-0.029522359371185303
scene-0042_10_3f35bd9b,1,4.329909980297089,9.178694486618042,4.351974129676819,9.010794758796692,0.022064149379730225,-0.1678997278213501,0.43299099802970886,0.9178694486618042,0.4351974129676819,0.9010794758796692,0.0022064149379730225,-0.01678997278213501
scene-0042_11_3f35bd9b,1,4.1400909423828125,8.552099466323853,4.1757988929748535,8.46536636352539,0.035707950592041016,-0.08673310279846191,0.41400909423828125,0.8552099466323853,0.41757988929748535,0.8465366363525391,0.0035707950592041016,-0.008673310279846191
scene-0042_12_3f35bd9b,1,4.094493389129639,8.270687460899353,4.112067222595215,8.183072209358215,0.017573833465576172,-0.0876152515411377,0.40944933891296387,0.8270687460899353,0.4112067222595215,0.8183072209358215,0.0017573833465576172,-0.00876152515411377
scene-0042_13_3f35bd9b,1,3.319593667984009,6.172970533370972,3.3164680004119873,5.969200134277344,-0.0031256675720214844,-0.20377039909362793,0.3319593667984009,0.6172970533370972,0.33164680004119873,0.5969200134277344,-0.00031256675720214844,-0.020377039909362793
scene-0042_14_3f35bd9b,1,2.279164493083954,4.309462606906891,2.2745203971862793,4.0726035833358765,-0.0046440958976745605,-0.2368590235710144,0.22791644930839539,0.4309462606906891,0.22745203971862793,0.40726035833358765,-0.00046440958976745605,-0.02368590235710144
scene-0042_15_3f35bd9b,1,1.4747074246406555,3.1956660747528076,1.4990830421447754,3.0607083439826965,0.024375617504119873,-0.13495773077011108,0.14747074246406555,0.31956660747528076,0.14990830421447754,0.30607083439826965,0.0024375617504119873,-0.013495773077011108
scene-0042_16_3f35bd9b,1,0.8140038698911667,2.2951440513134003,0.8669708669185638,2.1790702641010284,0.052966997027397156,-0.11607378721237183,0.08140038698911667,0.22951440513134003,0.08669708669185638,0.21790702641010284,0.005296699702739716,-0.011607378721237183
scene-0042_17_3f35bd9b,1,2.072041928768158,2.2872228920459747,2.328287959098816,2.69393652677536,0.25624603033065796,0.4067136347293854,0.2072041928768158,0.22872228920459747,0.2328287959098816,0.269393652677536,0.025624603033065796,0.04067136347293854
scene-0042_18_3f35bd9b,1,1.3311579823493958,1.7980904877185822,1.5732942521572113,1.9974477589130402,0.24213626980781555,0.199357271194458,0.13311579823493958,0.17980904877185822,0.15732942521572113,0.19974477589130402,0.024213626980781555,0.0199357271194458
scene-0042_19_3f35bd9b,1,8.516783714294434,18.41402530670166,8.761274218559265,19.174611568450928,0.24449050426483154,0.7605862617492676,0.8516783714294434,1.841402530670166,0.8761274218559265,1.9174611568450928,0.024449050426483154,0.07605862617492676
scene-0042_20_3f35bd9b,1,4.633459448814392,10.531408786773682,4.763305187225342,10.623078346252441,0.1298457384109497,0.09166955947875977,0.4633459448814392,1.0531408786773682,0.4763305187225342,1.0623078346252441,0.01298457384109497,0.009166955947875977
scene-0042_21_3f35bd9b,1,1.3381397724151611,3.2288089394569397,1.4704957604408264,2.94781357049942,0.13235598802566528,-0.28099536895751953,0.1338139772415161,0.32288089394569397,0.14704957604408264,0.294781357049942,0.013235598802566528,-0.028099536895751953
scene-0042_22_3f35bd9b,1,1.3049030303955078,3.823404312133789,1.2797267735004425,3.450748026371002,-0.025176256895065308,-0.37265628576278687,0.13049030303955078,0.3823404312133789,0.12797267735004425,0.3450748026371002,-0.0025176256895065308,-0.037265628576278687
scene-0042_23_3f35bd9b,1,3.145381808280945,8.188941478729248,3.2252144813537598,8.05360496044159,0.07983267307281494,-0.1353365182876587,0.3145381808280945,0.8188941478729248,0.322521448135376,0.8053604960441589,0.007983267307281494,-0.01353365182876587
scene-0042_24_3f35bd9b,1,3.6756539344787598,9.49813961982727,3.7170669436454773,9.364756345748901,0.04141300916671753,-0.13338327407836914,0.367565393447876,0.949813961982727,0.37170669436454773,0.9364756345748901,0.004141300916671753,-0.013338327407836914
scene-0042_0_6683fe5c,1,11.148555278778076,25.53039312362671,11.303577423095703,25.940637588500977,0.15502214431762695,0.4102444648742676,1.1148555278778076,2.553039312362671,1.1303577423095703,2.5940637588500977,0.015502214431762695,0.04102444648742676
scene-0042_1_6683fe5c,1,5.546926259994507,13.695905208587646,5.652518272399902,13.661922216415405,0.10559201240539551,-0.03398299217224121,0.5546926259994507,1.3695905208587646,0.5652518272399902,1.3661922216415405,0.01055920124053955,-0.003398299217224121
scene-0042_2_6683fe5c,1,3.634297251701355,9.986120462417603,3.7324219942092896,9.809778332710266,0.09812474250793457,-0.17634212970733643,0.3634297251701355,0.9986120462417603,0.37324219942092896,0.9809778332710266,0.009812474250793457,-0.017634212970733643
scene-0042_3_6683fe5c,1,3.4051579236984253,9.798035621643066,3.52247416973114,9.651099443435669,0.11731624603271484,-0.14693617820739746,0.34051579236984253,0.9798035621643066,0.352247416973114,0.9651099443435669,0.011731624603271484,-0.014693617820739746
scene-0042_4_6683fe5c,1,6.206745505332947,15.80257773399353,6.339048743247986,15.934480428695679,0.13230323791503906,0.13190269470214844,0.6206745505332947,1.580257773399353,0.6339048743247986,1.5934480428695679,0.013230323791503906,0.013190269470214844
scene-0042_5_6683fe5c,1,6.4184558391571045,16.0872745513916,6.527993083000183,16.134727001190186,0.10953724384307861,0.047452449798583984,0.6418455839157104,1.6087274551391602,0.6527993083000183,1.6134727001190186,0.010953724384307861,0.0047452449798583984
scene-0042_6_6683fe5c,1,6.3765329122543335,15.413295030593872,6.4601874351501465,15.383777618408203,0.08365452289581299,-0.029517412185668945,0.6376532912254333,1.5413295030593872,0.6460187435150146,1.5383777618408203,0.008365452289581299,-0.0029517412185668945
scene-0042_7_6683fe5c,1,5.838431715965271,12.807955741882324,5.897684097290039,12.669258117675781,0.059252381324768066,-0.13869762420654297,0.5838431715965271,1.2807955741882324,0.5897684097290039,1.2669258117675781,0.005925238132476807,-0.013869762420654297
